Date,"A001 ,Bicentennial Bikeway, Auchenflower ,Pedestrians","A001 ,Bicentennial Bikeway, Auchenflower ,Cyclists","A019 ,Bicentennial Bikeway, Milton ,Pedestrians","A019 ,Bicentennial Bikeway, Milton ,Cyclists","A002 ,Bishop Street, Kelvin Grove ,Pedestrians","A002 ,Bishop Street, Kelvin Grove ,Cyclists","A023 ,Botanic Gardens, City ,Pedestrians","A023 ,Botanic Gardens, City ,Cyclists","A003 ,Ekibin Park, Greenslopes ,Pedestrians","A003 ,Ekibin Park, Greenslopes ,Cyclists","A004N ,Eleanor Schonell Br, St Lucia ,Cyclists","A004S ,Eleanor Schonell Br, St Lucia ,Pedestrians","A005W ,Go Between Br , South Brisbane ,Cyclists","A006 ,Granville St Bridge, Herston ,Pedestrians","A006 ,Granville St Bridge, Herston ,Cyclists","A020 ,Gympie Rd (Marchant Park), Chermside ,Pedestrians","A020 ,Gympie Rd (Marchant Park), Chermside ,Cyclists","A007 ,Jack Pesch Bridge, Indooroopilly ,Pedestrians","A007 ,Jack Pesch Bridge, Indooroopilly ,Cyclists","A008 ,Kangaroo Point Bikeway, Kangaroo Point ,Pedestrians","A008 ,Kangaroo Point Bikeway, Kangaroo Point ,Cyclists","A009 ,Kedron Brook Bikeway, Lutwyche ,Pedestrians","A009 ,Kedron Brook Bikeway, Lutwyche ,Cyclists","A010 ,Kedron Brook Bikeway, Mitchelton ,Pedestrians","A010 ,Kedron Brook Bikeway, Mitchelton ,Cyclists","A011 ,Lambert Rd, Indooroopilly ,Cyclists","A021 ,Lores Bonney Riverwalk, Hamilton ,Pedestrians","A021 ,Lores Bonney Riverwalk, Hamilton ,Cyclists","A018 ,Macquarie Street, St Lucia ,Pedestrians","A018 ,Macquarie Street, St Lucia ,Cyclists","A017 ,Norman Creek Bridge, Norman Park ,Pedestrians","A017 ,Norman Creek Bridge, Norman Park ,Cyclists","A012 ,North Brisbane Bikeway (Mann Park), Windsor ,Pedestrians","A012 ,North Brisbane Bikeway (Mann Park), Windsor ,Cyclists","A013 ,Riverwalk, Newfarm ,Pedestrians","A013 ,Riverwalk, Newfarm ,Cyclists","A014 ,Schulz Canal Bridge, Nundah ,Pedestrians","A014 ,Schulz Canal Bridge, Nundah ,Cyclists","A022 ,Stanley Street, South Brisbane ,Cyclists","A016E ,Story Bridge, Kangaroo Point ,Pedestrians","A016E ,Story Bridge, Kangaroo Point ,Cyclists","A016W ,Story Bridge, Kangaroo Point ,Pedestrians","A016W ,Story Bridge, Kangaroo Point ,Cyclists"
16/03/2019,841,798,912,872,428,62,,,670,106,408,945,487,149,71,,,279,137,1609,413,903,324,180,77,126,,,631,246,60,6,36,119,,,32,70,,575,445,3,
17/03/2019,817,1523,886,1573,185,72,,,496,156,555,846,735,142,137,,,414,414,1735,639,556,533,201,125,339,,,404,429,362,14,64,139,,,48,196,,776,529,6,
18/03/2019,1459,3194,1432,3669,288,125,,,743,178,2011,2832,1188,321,473,,,540,446,2180,1053,470,545,180,154,414,,,842,1037,243,14,281,580,,,72,148,,789,1394,23,
19/03/2019,1588,4528,1420,5139,313,193,,,690,296,2470,2661,1732,327,678,,,543,749,2300,1452,780,879,204,188,680,,,838,1376,507,13,335,551,,,265,256,,836,1782,5,
20/03/2019,1363,4360,1145,4908,225,188,,,594,253,2412,2637,1737,266,706,,,538,847,2181,1350,735,880,171,185,765,,,856,1335,367,7,333,689,,,96,262,,746,1776,3,
21/03/2019,1217,3954,1078,4545,228,161,,,574,241,2154,2401,1582,292,602,,,566,770,2024,1270,705,796,179,203,790,,,740,1215,421,15,301,571,,,46,234,,652,1561,3,
22/03/2019,1041,3649,976,4296,256,159,,,566,247,1982,2399,1630,253,486,,,528,865,1920,1030,718,671,175,153,564,,,668,1077,354,15,257,457,,,94,219,,627,1376,4,
23/03/2019,1200,2506,1125,2854,284,102,,,1102,280,1001,900,1425,148,189,,,433,742,2298,997,1206,903,218,135,416,,,611,738,330,19,130,236,,,62,235,,601,908,0,
24/03/2019,1458,2639,1070,2832,203,107,,,574,329,873,787,1395,143,157,,,358,733,2924,1116,735,1052,184,222,527,,,760,876,237,17,143,200,,,61,240,,780,842,2,
25/03/2019,1364,3891,1030,4280,248,194,,,617,303,2191,2291,1381,265,702,,,436,546,2105,1260,727,816,208,197,545,,,791,1183,513,17,345,638,,,80,200,,606,1686,2,
26/03/2019,1228,4344,911,4918,218,148,,,628,343,2495,2470,1694,241,684,,,532,758,1946,1365,667,895,202,216,750,,,856,1352,353,10,390,619,,,73,247,,530,1779,1,
27/03/2019,437,1907,591,2231,167,92,,,282,84,1176,2560,753,209,368,,,298,288,948,521,279,333,95,83,301,,,503,568,117,15,188,346,,,18,110,,417,893,3,
28/03/2019,1168,2445,1574,2854,305,124,,,649,182,1607,2817,1080,301,420,,,394,275,1670,810,529,460,153,136,328,,,701,778,0,11,200,441,,,58,159,,925,1149,4,
29/03/2019,1145,3714,1246,4347,237,150,,,641,267,2099,2530,1651,332,519,,,742,839,1895,1115,574,651,205,156,782,,,732,1172,6,11,275,524,,,76,233,,912,1375,4,
30/03/2019,904,1130,810,1256,563,55,,,625,153,567,1452,720,150,109,,,349,293,1703,544,976,499,213,123,248,,,615,402,0,8,61,197,,,34,100,,812,582,2,
31/03/2019,2242,3382,1905,3554,330,178,,,1058,467,1230,1379,1622,316,246,,,657,817,3688,1436,1074,1428,350,243,618,,,918,1011,3,16,176,345,,,389,350,,1279,1273,1,
1/04/2019,1716,3867,1528,4347,376,163,,,1073,310,2276,2878,1482,384,685,,,499,530,2206,1295,811,815,241,197,573,,,935,1205,0,17,377,674,,,318,224,,1022,1644,1,
2/04/2019,1267,3908,1383,4400,335,186,,,778,297,2281,2819,1501,338,689,,,552,613,1957,1230,712,774,238,225,655,,,840,1152,239,9,375,624,,,137,261,,943,1612,4,
3/04/2019,1068,3355,1264,3808,282,133,,,609,222,1968,2734,1240,275,552,,,524,577,1723,954,429,583,156,166,530,,,688,994,0,19,274,515,,,52,145,,918,1380,1,
4/04/2019,1551,3759,1526,4227,350,151,,,743,279,2268,2838,1456,319,578,,,492,642,2163,1231,674,703,210,178,661,,,811,1238,0,13,323,574,,,128,201,,1078,1517,3,
5/04/2019,1345,3427,1438,4103,213,127,,,619,261,2036,2316,1529,291,448,,,616,753,1884,1004,467,570,141,149,622,,,759,1072,0,11,256,474,,,119,150,,892,1316,3,
6/04/2019,1434,2836,1425,3053,688,108,,,1368,324,1142,1793,1578,270,179,,,559,812,2657,988,1295,870,284,167,642,,,832,861,0,9,141,327,,,272,190,,1131,858,0,
7/04/2019,1823,3144,1804,3293,334,160,,,877,372,1144,1198,1520,219,225,,,547,797,3498,1371,1076,1226,329,247,672,,,792,900,0,11,195,349,,,450,388,,1141,1057,0,
8/04/2019,1855,3922,1593,4359,356,173,,,836,381,2174,2622,1471,389,648,,,518,520,2386,1277,855,848,309,239,550,,,897,1183,0,18,360,681,,,272,246,,587,1268,539,
9/04/2019,1703,4398,1594,4839,344,195,,,841,324,2414,2727,1639,368,662,,,620,734,2505,1365,792,861,264,236,720,,,1032,1376,0,19,385,758,,,278,255,,500,1341,582,
10/04/2019,1666,4068,1374,4510,333,180,,,757,347,2294,2868,1697,314,627,,,651,730,2548,1359,797,835,201,181,697,,,926,1264,0,16,326,766,,,450,248,,499,1253,686,
11/04/2019,1558,3914,1385,4411,377,184,,,829,302,2220,2946,1699,327,627,,,612,693,2318,1198,748,783,246,245,671,,,882,1234,0,11,348,639,,,438,214,,643,1297,541,
12/04/2019,1098,3326,1267,3932,366,169,,,585,260,1915,2486,1658,251,478,,,518,847,1625,1001,464,617,204,157,646,,,692,1044,4,11,267,491,,,1774,205,,395,856,704,
13/04/2019,1576,2791,1657,2979,576,94,,,1575,365,1024,1708,1571,224,242,84,5,574,734,2986,1033,1324,983,270,168,611,,,781,820,0,5,136,265,,,1252,212,,615,723,886,
14/04/2019,1660,2544,1544,2930,330,157,,,898,439,946,1336,1751,249,205,72,19,415,496,2865,1194,987,1057,350,249,382,,,785,602,0,12,153,325,,,405,274,,646,681,935,
15/04/2019,1365,3317,1591,3829,344,166,,,794,275,1976,2687,1348,299,582,109,21,449,426,2102,1066,687,624,228,201,436,,,743,996,0,23,324,575,,,364,203,,496,1019,665,
16/04/2019,1673,3890,1765,4435,401,177,,,1026,289,2243,2842,1622,294,604,109,28,625,649,2315,1233,675,742,268,224,682,,,836,1173,109,18,322,709,,,872,261,,581,1119,759,
17/04/2019,1597,3780,1711,4204,342,156,,,754,338,2192,2890,1572,300,587,133,23,608,667,2449,1250,735,745,327,224,841,,,905,1121,44,16,275,662,,,442,216,,569,1122,781,
18/04/2019,1204,3174,1763,3620,280,140,,,675,288,1857,2380,1455,298,464,106,25,481,617,2119,1040,562,681,214,179,543,,,703,1015,27,20,256,530,,,621,200,,532,936,756,
19/04/2019,1105,1790,1245,1912,243,73,,,719,220,615,840,980,185,110,62,7,446,503,2613,745,491,636,257,156,415,,,560,468,8,7,95,208,,,193,141,,416,467,934,
20/04/2019,744,1056,743,1169,423,45,,,968,136,412,528,608,99,68,70,6,320,296,1460,370,775,370,182,70,219,,,360,295,0,7,53,126,,,81,121,,390,304,586,
21/04/2019,1307,1728,1367,1828,282,113,,,668,244,618,707,923,175,129,76,13,363,369,2615,854,602,575,265,178,269,,,535,442,0,9,90,210,,,87,118,,542,500,947,
22/04/2019,1499,2318,1561,2479,371,126,,,989,370,1014,940,1208,216,139,82,17,499,640,3012,980,824,988,368,262,504,,,753,691,0,5,131,278,,,135,189,,545,577,878,
23/04/2019,1391,2980,1525,3396,314,112,,,712,202,1401,669,1254,289,451,101,20,529,514,1902,913,684,529,166,145,493,,,581,718,0,8,251,533,,,63,184,,472,842,695,
24/04/2019,1466,3531,1515,3861,302,139,,,742,264,1579,749,1450,300,525,85,15,638,703,1921,1123,746,752,244,202,684,,,776,887,0,10,286,579,,,156,189,,531,934,605,
25/04/2019,2070,3084,2036,3348,453,157,,,1247,523,1117,729,1533,277,228,116,38,572,803,3563,1224,1130,1427,508,210,595,,,772,790,3,12,159,338,,,111,258,,661,710,1151,
26/04/2019,1263,3245,1344,3698,290,116,,,632,245,1399,1043,1492,281,463,95,20,651,805,2163,1044,615,718,248,210,665,,,697,911,2,11,209,486,,,207,155,,555,880,676,
27/04/2019,1414,2564,1560,2777,627,147,,,1520,279,936,718,1535,414,176,83,26,641,723,2745,1004,1288,965,298,217,581,,,674,724,4,11,123,299,,,885,186,,563,632,884,
28/04/2019,1960,2975,1879,3091,425,192,,,1050,519,1141,3210,1517,306,210,99,20,568,790,3510,1318,1005,1367,368,252,684,,,955,921,9,12,159,312,,,251,354,,681,742,1028,
29/04/2019,1649,3769,1552,4219,363,158,,,822,294,2107,2164,1362,339,692,97,23,600,518,2182,1153,799,674,246,223,606,,,863,1111,0,11,321,639,,,163,175,,570,1149,816,
30/04/2019,1157,3785,1303,4440,263,147,,,623,235,2257,2253,1532,315,583,75,27,691,601,1756,1101,522,688,183,173,646,,,784,1148,37,12,307,578,,,555,203,,41,35,1273,
1/05/2019,1655,3196,1689,3632,313,131,,,845,242,1934,2377,1244,272,502,100,21,453,400,2244,960,640,562,183,140,478,,,861,958,0,18,269,557,,,54,158,,38,2,1411,
2/05/2019,1542,3880,1592,4392,342,150,,,813,297,2151,2453,1537,367,663,89,20,628,732,2131,1148,702,808,252,205,694,,,853,1107,28,13,331,645,,,85,225,,15,1,1333,
3/05/2019,1337,3423,1324,4045,281,141,,,586,238,1966,2235,1568,286,498,60,19,721,688,2042,987,554,711,127,189,717,,,821,978,377,12,267,544,,,147,165,,17,3,1359,
4/05/2019,1218,1787,1280,1977,650,98,,,1329,224,720,973,1117,363,161,72,12,527,593,2081,616,1022,581,211,130,374,,,702,507,122,4,101,224,,,47,120,,15,0,1685,
5/05/2019,1953,2852,2151,3005,473,140,,,940,426,1033,1189,1429,257,211,91,24,584,651,3913,1282,965,1116,283,177,520,,,873,809,263,27,158,348,,,459,238,,26,1,2414,
6/05/2019,2397,3086,2133,3346,546,189,,,1237,550,1215,1366,1613,354,271,129,27,707,729,4132,1550,1207,1492,434,340,577,,,985,864,273,19,184,402,,,745,329,,33,1,2217,
7/05/2019,1704,3734,1715,4203,413,165,,,816,284,2235,2490,1515,414,698,107,23,636,567,2235,1183,718,729,193,215,608,,,871,1121,313,13,358,687,,,595,222,,24,0,1659,
8/05/2019,1882,4043,1824,4520,405,186,,,773,291,2295,2614,1614,416,713,133,33,638,687,2417,1202,766,770,242,186,703,,,866,1217,282,21,348,662,,,187,229,,8,2,1546,
9/05/2019,1719,3820,1823,4310,380,177,,,783,269,2171,2534,1586,494,623,104,21,632,688,2505,1145,766,727,194,199,732,,,844,1121,260,11,313,623,,,1755,242,,14,0,1605,
10/05/2019,1309,3622,1458,4207,304,142,,,590,254,1914,2231,1687,387,538,90,18,790,838,1953,1101,586,710,160,210,762,,,748,990,52,11,239,534,,,89,195,,22,7,1443,
11/05/2019,1656,2162,1666,2361,672,107,,,1502,257,861,1098,1264,449,205,128,21,551,678,2644,887,1221,782,257,200,509,,,813,662,149,8,125,271,,,230,208,,30,9,1761,
12/05/2019,1872,2171,1750,2335,421,127,,,939,353,992,1153,1207,217,140,87,13,471,508,3141,854,855,939,280,159,402,,,776,684,72,10,138,226,,,178,292,,28,4,1833,
13/05/2019,1472,3365,1563,3786,332,162,,,667,239,1858,2044,1212,296,520,71,21,525,491,1824,1036,601,459,195,144,597,,,739,1003,30,13,258,534,,,67,163,,17,0,1449,
14/05/2019,1671,3902,1849,4353,349,151,,,777,278,2291,2801,1568,424,609,77,36,642,613,2315,1214,745,705,178,192,653,,,869,1173,78,16,311,633,,,80,215,,22,1,1604,
15/05/2019,1616,3145,1622,3589,325,125,,,698,269,1966,2432,1217,273,536,77,23,506,372,2111,964,693,564,176,185,549,,,790,943,42,10,282,615,,,62,157,,10,1,1495,
16/05/2019,1645,3881,1815,4384,354,185,,,818,265,2159,2585,1673,407,650,83,26,818,642,2294,1195,763,725,187,182,776,,,853,1191,130,24,305,628,,,115,223,,14,5,1402,
17/05/2019,857,1696,1100,2058,253,91,,,352,106,1144,703,812,232,392,58,13,276,178,1451,618,438,423,137,127,229,,,601,510,55,17,160,368,,,91,141,,15,4,1172,
18/05/2019,1476,2292,1623,2458,647,140,,,1329,257,849,247,1341,420,175,78,16,602,625,2388,753,1216,712,241,136,484,,,724,679,45,7,116,222,,,163,241,,14,8,1854,
19/05/2019,2092,2732,2113,2870,400,161,,,925,343,1154,261,1821,354,224,82,16,526,546,3174,1119,1027,984,333,226,406,,,776,892,77,12,162,269,,,132,234,,13,2,2120,
20/05/2019,1471,3173,1532,3625,342,126,,,780,228,1859,393,1269,312,529,66,23,451,403,1804,1011,551,556,136,145,465,,,780,921,17,14,280,553,,,48,149,,10,8,1323,
21/05/2019,1812,3937,1804,4580,387,143,,,851,308,2167,537,1654,439,647,94,23,586,641,2378,1219,840,811,246,196,715,,,928,1171,460,13,378,661,,,75,228,,17,6,1568,
22/05/2019,1770,3717,1759,4155,361,177,,,828,269,2161,649,1480,334,630,85,31,646,614,2170,1233,701,723,183,172,720,,,952,1043,410,13,341,642,,,641,240,,15,2,1516,
23/05/2019,1815,3717,1828,4252,374,138,,,811,305,2065,771,1518,392,596,74,30,636,707,2208,1187,738,724,207,170,654,,,828,1111,378,14,311,617,,,167,203,,27,3,1550,
24/05/2019,1378,3486,1615,4056,310,138,,,622,269,1853,770,1630,316,505,66,25,686,790,1804,1064,648,715,172,172,751,,,859,957,289,16,247,563,,,312,199,,8,1,1422,
25/05/2019,1596,2490,1646,2660,398,134,,,1597,312,960,468,1337,390,147,102,19,634,731,2691,864,1267,912,294,179,578,,,785,700,297,5,137,278,,,650,251,,6,0,1781,
26/05/2019,1996,2923,1891,3151,389,154,,,1026,395,1065,545,1505,242,195,91,22,586,705,4131,1234,946,1225,279,224,688,,,847,890,216,16,149,309,,,165,401,,10,2,2044,
27/05/2019,1789,3547,1806,4114,329,163,,,838,274,1892,959,1415,331,625,105,30,449,514,2189,1159,739,630,193,191,552,,,836,1012,406,16,324,658,,,120,191,,4,0,1426,
28/05/2019,1812,4014,1733,4627,388,138,,,856,294,2067,1932,1713,414,639,87,30,590,701,2416,1249,837,743,206,183,691,,,926,1102,446,8,347,701,,,241,219,,12,0,1620,
29/05/2019,1727,3564,1753,4126,362,150,,,723,256,2002,1423,1538,316,616,108,31,554,676,3849,1280,711,690,157,170,714,,,871,987,386,9,310,664,,,256,227,,6,0,1568,
30/05/2019,1551,3578,1794,4100,361,130,,,737,261,1916,1431,1451,351,549,103,13,532,610,3360,1124,658,682,196,173,601,,,747,995,377,14,312,599,,,289,202,,3,0,1538,
31/05/2019,1206,3120,1325,3677,310,119,,,643,271,1668,1609,1446,275,486,74,12,682,677,1876,909,569,566,147,141,698,,,673,892,306,12,230,464,,,205,142,,6,0,1444,
1/06/2019,1420,2224,1588,2475,578,102,,,1256,265,838,612,1314,386,163,114,3,520,562,2653,862,1263,785,243,181,456,,,694,642,305,11,136,289,,,1257,195,,274,133,1647,
2/06/2019,2226,1300,2919,1359,332,95,,,912,329,809,704,807,285,144,68,29,390,430,2226,600,921,822,268,164,380,,,796,557,276,17,98,240,,,69,179,,394,278,976,
3/06/2019,1697,3088,1655,3590,375,145,,,784,309,1465,1157,1280,349,608,95,30,449,367,1971,1014,723,684,216,207,407,,,796,787,360,23,318,665,,,157,172,,397,772,947,
4/06/2019,1284,3388,1331,3901,299,120,,,670,229,1674,1086,1397,297,520,79,26,501,560,1772,1049,537,509,154,164,606,,,729,824,393,15,278,574,,,321,202,,418,837,873,
5/06/2019,1561,3378,1861,3866,372,132,,,792,280,1639,1165,1451,318,562,89,22,505,599,2276,1075,683,609,184,181,536,,,772,894,415,15,272,569,,,265,185,,425,841,954,
6/06/2019,1643,3209,1693,3677,307,123,,,770,238,1524,1325,1358,341,535,80,30,499,529,2068,1037,626,633,188,167,571,,,737,816,374,16,268,559,,,204,229,,429,821,893,
7/06/2019,1239,3077,1566,3655,387,134,,,623,212,1249,991,1484,303,456,66,18,638,646,1821,971,501,523,201,129,625,,,624,751,273,19,211,492,,,140,175,,403,813,784,
8/06/2019,1050,1548,1275,1677,543,69,,,1230,169,635,1095,928,334,143,51,18,477,463,1804,577,972,501,191,109,391,,,554,493,226,11,87,204,,,56,121,,434,354,873,
9/06/2019,2052,2535,2188,2688,465,176,,,941,466,612,971,1265,351,229,90,21,587,621,3667,1162,1112,1148,291,254,560,,,944,788,250,10,134,275,,,119,217,,711,638,1345,
10/06/2019,1716,3510,1802,3940,388,154,,,779,301,0,1505,1409,365,616,86,22,486,496,2304,1135,758,698,214,188,466,,,835,897,367,16,297,648,,,154,181,,493,915,965,
11/06/2019,1845,3970,1987,4401,384,161,,,865,305,0,1405,1595,433,600,103,23,657,648,2464,1301,842,839,215,172,700,,,886,983,397,16,337,684,,,276,218,,483,1008,909,
12/06/2019,1883,3722,1979,4204,358,145,,,812,288,0,1656,1470,334,578,94,28,595,652,2215,1130,765,723,205,194,571,,,918,977,387,10,278,662,,,165,216,,512,990,925,
13/06/2019,1768,3693,1961,4073,306,129,,,886,264,0,1524,1556,389,570,85,17,630,557,2159,1175,736,684,196,160,582,,,859,933,367,21,289,638,,,86,238,,499,978,872,
14/06/2019,1397,3513,1570,3968,316,149,,,691,247,0,1401,1586,297,512,78,18,587,751,2012,1007,583,674,181,175,660,,,811,908,301,21,251,549,,,103,211,,444,924,812,
15/06/2019,1664,2293,1779,2502,590,140,,,1448,346,0,1174,1422,424,160,97,18,590,633,2897,913,1318,890,270,183,513,,,834,684,300,18,128,284,,,151,186,,484,576,1065,
16/06/2019,1274,1925,1297,2472,234,104,,,631,237,0,333,1571,207,171,77,18,411,536,2290,844,586,700,211,138,400,,,576,487,104,6,116,228,,,126,202,,481,470,996,
17/06/2019,1815,3107,1753,3496,385,160,,,755,262,0,1583,1228,345,554,90,26,449,389,2291,1065,835,649,204,180,298,,,864,797,389,19,274,521,,,98,139,,576,897,990,
18/06/2019,1680,3770,1822,4195,406,142,,,758,316,0,1807,1545,370,587,85,24,601,619,2282,1204,809,780,218,170,578,,,832,945,467,18,303,606,,,719,192,,548,975,943,
19/06/2019,1678,3560,1790,4064,354,140,,,763,320,0,1546,1467,346,582,108,21,527,629,2403,1149,733,688,215,191,592,,,852,900,406,17,301,606,,,465,226,,563,965,942,
20/06/2019,1489,3196,1827,3698,315,115,,,721,251,0,1603,1380,337,554,80,24,580,489,1859,1023,639,657,166,148,547,,,733,871,301,18,268,553,,,72,194,,489,904,938,
21/06/2019,1318,3109,1479,3671,311,124,,,683,239,0,1608,1603,318,522,69,20,776,651,1882,1020,625,650,182,165,589,,,761,759,215,16,236,490,,,118,200,,481,956,897,
22/06/2019,1568,2100,1652,2296,711,122,,,1739,317,0,723,1200,415,176,91,34,551,622,2717,872,1201,913,268,192,384,,,767,631,,,112,293,,,242,172,,524,577,1133,
23/06/2019,1706,2187,1911,2449,364,133,,,991,370,0,700,1230,221,163,90,22,511,576,3098,1023,893,1071,282,174,455,,,726,738,,,154,284,,,506,277,,683,572,1315,
24/06/2019,1531,3017,1581,3533,379,151,,,799,220,0,1058,1166,271,554,98,28,395,402,2096,1106,645,570,184,158,413,,,722,700,,,271,557,,,233,141,,55,82,1480,
25/06/2019,1145,2211,1462,2638,279,118,,,545,148,0,851,865,237,446,61,18,337,245,1547,723,475,398,148,116,242,,,551,531,,,203,434,,,60,102,,268,530,785,
26/06/2019,731,1050,921,1280,109,41,,,254,58,0,224,464,156,198,34,5,227,111,837,309,152,113,73,29,128,,,317,225,,,91,223,,,26,52,,224,322,497,
27/06/2019,1497,2717,1733,3098,325,116,,,671,197,0,0,1107,288,429,78,16,444,418,1867,817,631,499,166,138,435,,,665,653,,,248,499,,,97,187,,65,30,1458,
28/06/2019,1094,2549,1390,2926,312,126,,,546,170,473,0,1112,234,415,72,17,466,493,1675,762,476,546,155,123,429,,,632,629,,,222,399,,,68,160,,466,256,1220,
29/06/2019,1419,1598,1625,1800,556,74,,,1378,213,592,0,1040,237,111,71,12,408,383,2521,715,1003,636,293,166,287,,,625,437,,,115,241,,,78,102,,632,449,1115,
30/06/2019,1841,2727,2125,2907,404,167,,,1110,459,918,0,1388,244,185,92,32,507,690,3698,1367,1040,1186,309,215,541,,,801,804,395,3,160,330,,,157,325,,802,652,1473,
1/07/2019,1418,3034,1606,3407,300,169,,,716,220,1281,0,1289,335,545,107,20,424,345,2109,1055,653,599,212,206,384,,,626,682,215,8,298,585,,,113,165,,1049,1387,115,
2/07/2019,1802,3526,2117,3968,419,183,,,873,315,1449,0,1471,312,546,93,26,549,511,2411,1235,826,713,297,172,504,,,769,802,296,11,281,645,,,81,198,,1208,1665,7,
3/07/2019,1386,3481,1778,3907,365,162,,,779,344,1368,0,1428,310,571,87,24,460,638,2378,1179,760,800,230,188,591,,,680,823,275,11,263,589,,,139,217,,985,1396,374,
4/07/2019,1465,3066,1744,3416,353,154,,,603,226,1264,0,1344,291,466,68,18,413,426,2200,969,667,578,177,149,466,,,706,696,241,11,236,495,,,76,221,,558,946,813,
5/07/2019,1138,1996,1362,2469,273,116,,,481,187,997,0,1009,278,319,58,14,275,252,1722,797,427,454,142,98,186,,,669,507,208,20,173,370,,,70,140,,463,725,730,
6/07/2019,688,814,1079,911,427,45,,,947,94,312,0,535,95,58,46,8,262,206,1313,263,695,244,137,64,164,,,323,223,96,5,50,117,,,40,69,,298,323,607,
7/07/2019,1503,1550,1657,1687,398,124,,,839,251,544,0,870,248,180,71,17,338,373,2817,716,742,643,226,171,231,,,615,437,212,10,98,226,,,86,170,,536,439,1279,
8/07/2019,1512,2711,1631,3040,329,130,,,655,213,1165,0,1104,311,496,80,20,366,342,2039,922,640,592,206,132,340,,,681,639,261,16,263,571,,,76,144,,511,836,921,
9/07/2019,1740,3801,1904,4204,398,162,,,924,319,1523,0,1612,364,516,93,26,460,589,2753,1421,798,818,242,229,588,,,770,883,287,9,293,664,,,158,277,,551,1021,1047,
10/07/2019,1658,3583,2017,4017,395,148,,,785,285,1455,0,1501,328,543,91,22,492,570,2509,1302,665,750,252,191,586,,,800,793,264,13,253,611,,,129,185,,584,986,1009,
11/07/2019,1465,3230,1875,3571,356,140,,,776,315,1438,0,1355,347,470,87,26,432,524,2336,1071,683,612,239,204,491,,,716,746,381,7,260,539,,,175,219,,595,938,943,
12/07/2019,1413,2951,1768,3483,353,112,,,701,270,1310,0,1417,321,422,147,22,462,701,2299,988,689,653,188,171,617,,,721,878,279,7,236,486,,,124,187,,534,849,879,
13/07/2019,1393,2225,1615,2465,579,114,,,1433,244,723,0,1322,234,153,99,20,472,609,2837,911,1161,850,286,177,467,,,672,686,332,7,114,280,,,90,197,,573,612,1015,
14/07/2019,1880,2536,1794,2759,426,154,,,922,452,844,1,1301,286,213,103,10,515,623,3393,1105,920,941,289,209,533,,,793,765,258,10,150,328,,,157,227,,548,681,1282,
15/07/2019,1524,2816,1601,3246,383,130,,,648,174,1333,0,1094,309,542,97,32,334,363,1945,1004,568,557,196,183,449,,,617,662,433,16,265,530,,,68,193,,481,821,921,
16/07/2019,1852,3525,1946,3994,377,164,,,818,240,1580,0,1484,322,559,104,29,513,567,2423,1136,738,690,241,184,588,,,797,852,435,5,283,612,,,88,235,,510,929,966,
17/07/2019,1626,3427,1790,3895,355,156,,,722,248,1615,0,1327,402,600,80,28,495,551,2278,1108,735,661,214,204,549,,,745,845,429,9,252,576,,,388,192,,499,962,948,
18/07/2019,1703,3217,1835,3673,350,125,,,688,234,1527,1,1374,361,572,104,24,489,509,2258,1046,680,643,190,158,554,,,733,811,577,9,242,586,,,99,231,,557,933,882,
19/07/2019,1310,3119,1513,3497,319,121,,,668,230,1419,0,1435,309,491,112,15,549,631,2081,988,661,565,169,139,563,,,700,722,329,11,201,484,,,431,228,,540,874,889,
20/07/2019,1430,2306,1664,2557,651,140,,,2051,284,869,0,1268,398,190,81,19,507,578,2969,890,1202,794,231,150,482,,,690,699,387,14,123,261,,,336,175,,545,578,1123,
21/07/2019,1877,2551,1846,2746,394,139,,,1039,399,832,0,1369,257,165,96,20,501,683,3886,1167,918,1228,347,252,517,,,783,776,255,17,152,352,,,193,331,,499,612,1231,
22/07/2019,1658,3286,1662,3705,379,158,,,822,251,1793,0,1218,314,579,103,19,453,401,2178,1189,693,620,217,168,435,,,832,935,403,16,281,630,,,325,193,,468,975,865,
23/07/2019,1884,3776,1967,4220,355,141,,,842,244,2090,0,1488,371,600,99,24,562,606,2347,1354,840,760,225,183,592,,,835,1097,413,12,280,625,,,98,248,,565,1089,1027,
24/07/2019,1712,3749,1979,4087,346,152,,,828,257,2158,0,1401,322,617,84,22,544,616,2393,1243,759,727,214,179,669,,,852,1116,388,13,282,637,,,165,207,,589,1030,935,
25/07/2019,1613,3487,1801,3838,350,148,,,842,225,1992,1,1299,342,598,92,14,498,535,2329,1226,730,617,188,158,588,,,793,1012,401,29,253,608,,,113,177,,514,965,812,
26/07/2019,1307,3353,1574,3761,286,135,,,681,207,1817,0,1480,306,490,79,25,598,680,2134,1136,602,655,179,150,632,,,744,942,326,12,229,548,,,139,196,,501,919,806,
27/07/2019,1605,2436,1674,2733,622,106,,,1465,320,860,0,1392,440,231,79,4,519,717,3345,1143,1420,895,238,178,504,,,782,698,433,7,132,297,,,151,201,,600,562,1038,
28/07/2019,1918,2668,1915,2749,365,123,,,1051,424,875,0,1370,267,199,84,19,451,598,3446,1250,881,1147,266,198,519,,,766,833,327,20,156,319,,,239,263,,587,621,1240,
29/07/2019,1803,3159.628079,1853,3889,364,154,,,875,277,1965,0,1246,364,609,87,20,465,418,2481,1248,857,748,240,165,499,,,810,1056,426,17,309,682,,,597,176,,543,1064,909,
