Time,"A001, Bicentennial Bikeway, Auchenflower Pedestrian","A001, Bicentennial Bikeway, Auchenflower Cyclist","A019, Bicentennial Bikeway, Milton Pedestrian","A019, Bicentennial Bikeway, Milton Cyclist","A002, Bishop Street, Kelvin Grove Pedestrian","A002, Bishop Street, Kelvin Grove Cyclist","A023, Botanic Gardens, City Pedestrian","A023, Botanic Gardens, City Cyclist","A003, Ekibin Park, Greenslopes Pedestrian","A003, Ekibin Park, Greenslopes Cyclist","A004S, Eleanor Schonell Br Cyclists, St Lucia","A004N, Eleanor Schonell Br Peds, St Lucia","A005W, Go Between Br Cyclists, South Brisbane","A006, Granville St Bridge, Herston Pedestrian","A006, Granville St Bridge, Herston Cyclist","A020, Gympie Rd (Marchant Park), Chermside Pedestrian","A020, Gympie Rd (Marchant Park), Chermside Cyclist","A007, Jack Pesch Bridge, Indooroopilly Pedestrian","A007, Jack Pesch Bridge, Indooroopilly Cyclist","A008, Kangaroo Point Bikeway, Kangaroo Point Pedestrian","A008, Kangaroo Point Bikeway, Kangaroo Point Cyclist","A009, Kedron Brook Bikeway, Lutwyche Pedestrian","A009, Kedron Brook Bikeway, Lutwyche Cyclist","A010, Kedron Brook Bikeway, Mitchelton Pedestrian","A010, Kedron Brook Bikeway, Mitchelton Cyclist","A011, Lambert Rd, Indooroopilly","A021, Lores Bonney Riverwalk, Hamilton Pedestrian","A021, Lores Bonney Riverwalk, Hamilton Cyclist","A018, Macquarie Street, St Lucia Pedestrian","A018, Macquarie Street, St Lucia Cyclist","A017, Norman Creek Bridge, Norman Park Pedestrian","A017, Norman Creek Bridge, Norman Park Cyclist","A012, North Brisbane Bway (Mann Park), Windsor Pedestrian","A012, North Brisbane Bway (Mann Park), Windsor Cyclist","A013, Riverwalk, Newfarm Pedestrian","A013, Riverwalk, Newfarm Cyclist","A014, Schulz Canal Bridge, Nundah Pedestrian","A014, Schulz Canal Bridge, Nundah Cyclist","A022, Stanley Street, South Brisbane","A016E, Story Bridge East, Kangaroo Point Pedestrian","A016E, Story Bridge East, Kangaroo Point Cyclist","A016W, Story Bridge West, Kangaroo Point Pedestrian","A016W, Story Bridge West, Kangaroo Point Cyclist","A024, Land Bridge ICB, Spring Hill Pedestrian","A024, Land Bridge ICB, Spring Hill Cyclist","A025, Maritime Museum, South Brisbane Pedestrian","A025, Maritime Museum, South Brisbane Cyclist","A026, Annerley Rd, South Brisbane","A027, Kurilpa Bridge Tank Street, Brisbane City","A101 :Bicentennial Bikeway, A-flower Land St Tunnel :Pedestrian","A101 :Bicentennial Bikeway, A-flower Land St Tunnel :Cyclist","A102 :Land Street Tunnel, Auchenflower :Pedestrian","A102 :Land Street Tunnel, Auchenflower :Cyclist","A103 :Bridge St, Wooloowin :Cyclist"
27/02/2020,1405,3892,1405,3892,161,34,,1974,761,246,,2431,1523,260,577,80,26,401,618,1909,1140,549,699,0,139,703,896,661,853,1021,297,19,167,612,,,109,81,1213,,,554,608,,,,,,,290,4883,558,3313,
28/02/2020,1197,3880,1197,3880,137,38,,2074,603,260,,1906,1711,258,602,67,12,550,885,1862,1158,521,638,0,151,817,898,739,846,1016,291,24,138,550,,,384,89,1110,,,488,633,,,,,,,305,5061,499,3158,
29/02/2020,1321,2656,1321,2656,169,35,,1640,1385,296,,843,1459,173,176,83,19,366,801,2748,1080,1164,979,0,157,700,1253,809,834,758,191,14,76,245,,,58,24,723,,,609,435,,,,,,,268,3742,444,2036,
1/03/2020,1807,2945,1807,2945,233,71,,963,757,350,,939,1354,217,185,72,11,451,741,3040,1334,838,1246,0,258,720,1524,1113,790,818,209,15,254,379,,,139,72,673,,,744,438,,,,,,,312,4306,498,2225,
2/03/2020,1749,4060,1749,4060,148,47,,2403,666,246,,1828,1462,331,634,76,16,330,549,2058,1301,695,803,0,187,616,1060,723,687,1086,388,37,251,744,,,791,124,1171,,,423,671,,,,,,,317,5028,540,3465,
3/03/2020,1552,4769,1552,4769,141,40,,2551,628,298,,2023,1847,338,643,87,29,501,757,2206,1484,706,934,0,209,898,1111,782,842,1262,376,32,261,789,,,1405,219,1299,,,424,739,,,,,,,351,6186,599,3964,
4/03/2020,1421,3539,1421,3539,133,35,,1915,579,228,,2470,1400,288,622,85,24,354,400,1972,1086,579,706,0,120,481,981,610,914,1005,299,30,313,676,,,419,96,1090,,,417,643,,,,,,,289,4352,515,3036,
5/03/2020,1499,4420,1499,4420,172,37,,2329,753,281,,2376,1710,314,665,72,17,604,790,2086,1288,661,798,0,180,789,1123,742,820,1168,320,32,288,716,,,333,74,1286,,,432,709,,,,,,,333,5718,516,3717,
6/03/2020,891,3534,891,3534,165,41,,1688,388,201,,1865,1524,215,543,44,18,352,836,1627,1048,446,652,0,120,812,655,597,657,909,175,23,204,503,,,113,22,1011,,,381,609,,,,,,,232,4466,380,2825,
7/03/2020,1227,2336,1227,2336,138,25,,1429,1002,261,,791,1230,167,167,84,18,372,670,2403,957,1096,859,0,153,545,1225,772,746,624,169,11,131,256,,,293,154,619,,,552,353,,,,,,,246,3155,404,1864,
8/03/2020,1765,2779,1765,2779,235,55,,1328,825,459,,1109,1436,297,205,64,12,447,810,2675,959,794,1188,0,235,753,1746,1178,1057,807,240,10,193,448,,,163,234,690,,,3795,433,,,,,,,307,3544,422,2044,
9/03/2020,381,1504,381,1504,52,16,,835,233,50,,1796,496,160,281,26,16,141,190,686,378,182,162,0,44,262,262,221,359,299,48,26,114,243,,,36,93,387,,,298,292,,,,,,,177,1760,244,1260,
10/03/2020,792,2175,792,2175,96,18,,1159,482,116,,2376,819,204,350,57,13,268,242,1314,627,194,326,0,64,382,520,263,684,662,169,10,191,364,,,62,121,723,,,495,414,,,,,,,260,2700,419,1893,
11/03/2020,1864,4267,1864,4267,199,38,,2194,817,255,,2724,1632,350,665,87,25,602,748,2398,1407,739,718,0,164,802,1247,686,983,1165,474,29,431,717,,,102,237,1196,,,708,703,,,,,,,371,5493,677,3685,
12/03/2020,950,3559,950,3559,107,19,,1816,553,189,,2248,1379,289,567,60,16,517,616,1371,1043,438,660,0,136,718,600,534,697,947,263,29,275,587,,,99,170,1048,,,507,584,,,,,,,262,4497,432,3179,
13/03/2020,1179,3059,1179,3059,181,38,,1647,601,239,,2191,1344,270,383,66,13,444,600,2032,982,344,533,0,126,536,829,528,795,817,291,20,244,508,,,107,138,998,,,621,543,,,,,,,287,3730,593,2302,
14/03/2020,1591,2732,1591,2732,380,98,,1533,1328,354,,934,1387,235,189,89,26,504,708,2719,1050,1172,945,0,216,641,1346,908,854,802,243,6,185,328,,,146,245,652,126,183,809,382,,,,,,,263,3503,461,2037,
15/03/2020,1840,2866,1840,2866,499,174,,1901,895,426,,984,1275,271,241,81,34,484,754,3059,1226,1021,1210,0,314,786,1731,1080,794,764,258,22,262,348,,,172,319,663,520,738,869,397,,,,,,,341,3858,541,2185,
16/03/2020,1879,3680,1879,3680,348,147,,2140,854,260,,1349,1400,349,656,85,19,405,533,2060,1188,766,720,0,194,513,1285,698,726,841,383,23,364,700,,,132,205,1100,388,1022,614,623,,,,,,,316,4884,559,3192,
17/03/2020,1982,4208,1982,4208,442,137,,2078,1060,264,,1417,1692,484,603,85,37,640,719,2236,1268,836,856,0,210,634,1321,726,860,942,440,29,367,682,,,172,244,1110,401,1013,646,698,,,,,,,311,5242,571,3418,
18/03/2020,1957,3856,1957,3856,472,141,,2154,997,313,,1186,1480,351,605,102,14,550,669,2169,1183,871,867,0,203,703,1469,696,853,890,403,25,412,644,,,151,232,1097,347,982,610,664,,,,,,,341,4897,568,3240,
19/03/2020,2095,3768,2095,3768,438,155,,2027,1012,305,,1232,1538,330,619,111,20,615,731,2251,1198,951,935,,,723,1349,755,917,921,430,20,370,682,,,305,183,1044,361,942,580,644,,,,,,,364,4796,600,3087,
20/03/2020,1689,3459,1689,3459,357,139,,1917,827,266,,1093,1596,343,527,104,18,623,795,1980,1097,896,905,,,823,1175,727,776,851,384,24,407,580,,,539,172,989,332,916,504,553,,,,,,,288,4444,494,2673,
21/03/2020,1985,3042,1985,3042,391,189,,1942,1037,474,,739,1531,229,234,96,25,543,796,2780,1162,1182,1317,,,697,1731,1057,890,815,268,11,250,377,,,733,232,678,351,800,630,403,,,,,,,320,3913,511,2274,
22/03/2020,2169,3440,2169,3440,580,239,,2273,931,488,,797,1414,251,249,100,20,503,877,2937,1327,1001,1597,,,795,1870,1283,898,999,268,16,257,471,,,958,318,720,351,761,627,463,,,,,,,326,4284,600,2391,
23/03/2020,1826,3016,1826,3016,422,154,,1491,1027,307,,1122,1148,372,561,131,37,417,470,1882,904,1006,876,,,528,1476,641,875,715,256,24,314,559,,,370,176,962,240,747,545,514,,,,,,,298,3657,513,2490,
24/03/2020,2106,3347,2106,3347,519,131,,1630,1381,290,,1223,1349,389,487,113,29,620,651,2185,963,1230,968,,,715,1775,659,966,814,329,33,361,516,,,93,214,873,305,800,757,509,,,,,,,365,4127,554,2592,
25/03/2020,2143,2869,2143,2869,553,146,,1460,1342,349,,1128,1147,396,412,157,33,547,598,2315,862,1213,1030,,,540,2003,702,1023,757,273,23,389,491,,,122,215,800,345,708,596,478,,,,,,,370,3486,556,2199,
26/03/2020,2312,3178,2312,3178,593,186,,1529,1482,386,,1087,1270,454,441,127,20,604,774,2502,1083,1306,1280,,,742,2036,808,1031,928,358,14,567,492,,,668,241,725,372,773,586,474,,,,,,,364,3983,638,2332,
27/03/2020,1644,2734,1648,2692,462,105,,1318,1173,320,,910,1175,302,314,128,32,531,747,1933,838,967,921,,,685,1718,692,840,755,243,21,284,391,,,257,214,706,333,716,583,445,,,,,,,328,3229,419,1832,
28/03/2020,2515,3319,2376,3446,841,257,,2250,1551,626,,1051,1521,375,277,191,32,743,876,3078,1383,1595,1964,,,822,2595,1362,1184,1073,401,21,261,473,,,151,268,735,419,774,820,521,,,,,,,395,3982,624,2291,
29/03/2020,2482,3977,2036,4070,926,325,,2858,1605,714,,1174,1648,388,280,193,46,633,1072,3238,1652,1676,2664,,,912,2879,1820,1109,1124,454,18,209,590,,,218,285,696,450,916,823,541,,,,,,,415,4650,702,2585,
30/03/2020,2391,2844,1917,2990,671,191,,1579,1574,425,,1009,1187,417,332,171,45,533,623,2599,1000,1467,1457,,,564,2436,879,1080,889,370,27,92,458,,,353,136,700,341,656,640,447,,,,,,,368,3238,601,1947,
31/03/2020,2662,3491,1741,3496,674,218,,1851,1688,555,,1044,1376,428,327,196,30,645,871,2797,1185,1602,1651,,,783,2514,1042,1167,1018,338,36,52,474,,,211,202,795,379,754,559,505,,,,,,,393,4061,663,2395,
1/04/2020,2618,3381,1809,3486,715,233,,2047,1757,590,,977,1432,453,357,179,39,686,857,2809,1245,1478,1626,,,752,2528,1081,1200,993,462,24,79,524,,,232,185,840,376,825,697,493,,,,,,,462,3962,633,2343,
2/04/2020,2665,3459,1753,3549,796,269,,1868,1700,587,,1076,1411,402,328,173,53,661,861,2882,1105,1535,1692,,,742,2600,998,1135,1067,387,34,68,542,,,277,212,835,366,751,702,475,,,,,,,427,4118,641,2338,
3/04/2020,2188,3599,1556,3671,655,214,,1958,1384,547,,1000,1530,369,347,172,52,770,882,2679,1224,1383,1649,,,807,2205,1167,1081,1081,328,11,75,514,,,220,156,941,321,897,629,535,,,,,,,336,4097,547,2353,
4/04/2020,2422,3991,1835,4092,766,268,,2950,1410,700,,1063,1804,322,317,197,57,640,1143,3256,1496,1354,2269,,,908,2632,1742,1244,1281,313,28,45,589,,,873,314,824,382,946,718,529,,,,,,,346,4616,546,2619,
5/04/2020,2858,4909,2177,5124,997,387,,3621,1759,1024,,1407,2035,384,354,187,39,902,1298,4269,2160,1660,2875,,,1159,3137,2294,1391,1457,620,32,572,779,,,996,343,925,522,1158,1152,757,,,,,,,463,5622,640,3094,
6/04/2020,2750,3171,1980,3283,917,270,,1869,1884,671,,1115,1299,457,339,245,47,660,696,3239,1193,1566,1773,,,545,2772,1194,1119,958,512,33,481,485,,,852,163,792,340,756,806,534,,,,,,,444,3557,639,2087,
7/04/2020,2837,3853,1936,3927,863,263,,2117,1947,686,,1262,1534,510,345,243,51,745,1033,3218,1432,1680,2025,,,833,2807,1318,1218,1192,525,31,440,607,,,346,302,866,380,852,1001,597,,,,,,,443,4500,647,2596,
8/04/2020,2559,3561,1979,3623,817,248,,1972,1801,684,,1149,1481,388,377,218,43,686,1013,2997,1222,1590,1742,,,771,2481,1176,1111,1084,391,33,490,562,,,142,256,847,399,850,972,498,,,,,,,371,4136,618,2432,
9/04/2020,2298,3451,1748,3533,717,272,,1848,1672,614,,1101,1458,420,303,193,53,778,986,2723,1195,1473,1717,,,816,2640,1102,1103,1047,352,32,391,484,,,133,229,873,361,803,895,508,,,,,,,332,4002,539,2263,
10/04/2020,2828,4407,2594,4582,1168,398,,3285,2036,913,,1613,1888,421,344,296,50,917,1378,3708,1796,1804,2768,,,1102,3300,2021,1436,1550,506,39,536,671,,,162,428,938,525,1084,1215,647,,,,,,,465,5088,689,2762,
11/04/2020,2654,4603,2113,4827,789,383,,3284,1731,925,,1179,2049,430,364,235,63,714,1351,3451,1919,1513,2608,,,1021,2727,2066,1274,1330,710,33,340,613,,,299,285,940,536,1156,824,593,,,,,,,460,5474,623,3168,
12/04/2020,2923,4320,2105,4461,978,418,,3711,1936,1003,,1454,1904,427,309,252,89,815,1222,3868,1948,1626,2484,,,940,3163,2293,1461,1421,783,40,440,727,,,434,310,935,481,1254,1105,728,,,,,,,508,4986,592,2778,
13/04/2020,3235,5156,2432,5421,1137,433,,4508,2125,1136,,1679,2125,499,354,329,77,999,1482,4510,2340,1931,3273,,,1217,3572,2642,1488,1647,692,41,578,882,,,496,365,956,621,1375,1395,707,,,,,,,496,6017,722,3412,
14/04/2020,2955,3467,2443,3543,968,306,,2181,1982,637,,1198,1443,464,315,251,71,808,929,3377,1287,1732,1998,,,738,2793,1338,1228,1060,573,23,400,529,,,689,205,885,404,800,1059,561,,,,,,,422,3980,673,2329,
15/04/2020,3009,4168,2372,4378,931,277,,2536,2147,772,,1271,1814,485,364,270,73,832,1141,3506,1377,1728,2174,,,961,2950,1450,1362,1208,498,31,508,642,,,506,244,936,296,530,1397,950,,,,,,,482,4818,678,2798,
16/04/2020,2892,3882,2426,4125,913,324,,2505,1822,725,,1214,1617,475,426,281,66,818,1107,3492,1463,1747,2123,,,975,2906,1443,1269,1233,492,25,464,621,,,566,222,950,277,559,1145,905,,,,,,,490,4564,696,2598,
17/04/2020,2497,3843,1964,4092,673,262,,2342,1339,689,,1015,1727,400,388,221,48,676,1059,3110,1455,1411,2167,,,928,2502,1391,1033,1202,317,28,344,573,,,232,266,922,268,567,942,907,,,,,,,431,4547,656,2517,
18/04/2020,2438,3999,2036,4384,819,284,,3003,1736,812,,1225,1975,399,332,224,46,676,1369,3506,1700,1589,2285,,,1076,2511,1858,1189,1166,301,32,403,549,,,143,482,856,503,1023,1154,617,,,,,,,380,4894,590,2734,
19/04/2020,2971,4651,2798,4800,1119,407,,4010,2143,1059,,1767,2143,460,302,251,51,963,1322,4235,2116,1708,2700,,,989,3204,2300,1576,1308,488,63,491,787,,,192,480,936,635,1170,1621,768,,,,,,,452,5330,715,2937,
20/04/2020,2898,3256,2569,3346,813,266,,2300,2032,661,,1245,1310,504,329,255,46,705,722,3450,1235,1660,1788,,,653,2838,1271,1294,1027,580,15,470,553,,,643,192,878,300,434,1307,859,,,,,,,495,3673,665,2116,
21/04/2020,2996,3976,2324,4035,845,263,,2391,1984,675,,1392,1602,457,346,286,55,870,1012,3569,1386,1762,2004,,,764,2860,1365,1391,1186,423,21,545,646,,,1025,306,979,454,814,1141,576,,,,,,,479,4666,702,2591,
22/04/2020,2859,3917,2162,3973,728,231,,2334,1851,587,,1209,1611,451,340,289,72,818,1004,3561,1418,1664,1791,,,849,2778,1261,1200,1224,474,29,475,632,,,529,313,890,424,909,964,660,,,,,,,432,4560,639,2628,
23/04/2020,2909,3823,2173,3920,946,257,,2387,1871,664,,1319,1619,461,391,261,58,815,1004,3639,1390,1684,1882,,,840,2717,1340,1271,1155,426,27,498,596,,,2176,280,936,420,943,1100,594,,,,,,,455,4482,666,2553,
24/04/2020,2571,3962,2152,4094,733,255,,2424,1539,628,,1213,1625,418,338,220,71,885,1144,3269,1437,1440,1722,,,876,2513,1322,1263,1147,339,26,409,572,,,655,276,912,404,992,1014,646,,,,,,,443,4692,597,2603,
25/04/2020,3282,5281,2549,5695,1043,383,,4549,1943,1196,,1497,2289,430,399,300,121,969,1442,4905,2400,1852,2811,,,1160,3448,2610,1306,1537,655,37,493,782,,,1569,326,1158,654,1371,1425,862,,,,,,,530,6106,710,3478,
26/04/2020,3023,5779,2391,6063,1048,506,,4611,1848,1043,,1679,2433,519,394,256,97,898,1560,4410,2507,1622,3203,,,1243,3119,2726,1508,1652,538,31,491,977,,,1974,517,1172,647,1374,1466,818,,,,,,,472,6598,637,3635,
27/04/2020,2923,3266,2220,3484,860,239,,2351,1836,584,,1244,1261,433,349,272,50,715,757,3514,1212,1665,1711,,,604,2970,1267,1228,977,468,16,400,539,,,1144,247,832,443,802,1094,560,,,,,,,442,3598,629,2065,
28/04/2020,2767,3668,2200,3736,771,217,,2030,1900,469,,1193,1461,454,310,237,61,827,943,3383,1206,1650,1612,,,854,2637,1132,1199,1089,345,33,466,605,,,137,288,897,400,864,1099,515,,,,,,,421,4320,657,2420,
29/04/2020,2873,3992,2452,4211,846,281,,2454,1976,535,,1258,1644,471,425,250,50,845,1040,3815,1585,1859,1924,,,923,2765,1315,1292,1163,449,32,514,656,,,422,291,930,492,1021,1231,662,,,,,,,481,4687,669,2694,
30/04/2020,2831,3708,2397,3870,772,234,,2133,1849,471,,1265,1483,467,364,276,44,844,985,3467,1282,1594,1651,,,955,2684,1250,1272,1072,342,31,452,581,,,367,253,887,519,858,1208,552,,,,,,,486,4328,686,2381,
1/05/2020,2582,3392,2070,3603,763,202,,2308,1631,507,,1241,1528,461,322,197,58,837,883,3404,1364,1447,1439,,,838,2256,1205,1088,961,481,26,408,563,,,1081,271,952,415,980,1244,618,,,,,,,427,3948,552,2226,
2/05/2020,2781,4189,2654,4333,812,256,,3366,1808,660,,1473,1901,412,301,202,53,890,1195,4935,1790,1632,1841,,,971,2498,1716,1171,1256,551,25,417,612,,,252,298,914,685,1060,1785,648,,,,,,,431,4986,629,2737,
3/05/2020,3037,4497,2699,4776,913,326,,4281,1966,874,,1635,2031,387,307,247,68,849,1099,5536,2317,1707,2266,,,872,3146,2187,1352,1308,595,44,410,720,,,291,403,908,679,1256,1841,826,,,,,,,489,5407,646,3242,
4/05/2020,3400,5134,3001,5494,1016,363,,5096,2104,1144,,1832,2290,512,409,289,60,906,1388,6131,2600,1800,2850,,,1087,3546,2623,1444,1575,643,42,585,774,,,347,421,1069,800,1341,2144,882,,,,,,,554,5937,703,3256,
5/05/2020,2853,2976,2497,3127,792,210,,2038,1937,439,,1314,1262,431,294,216,70,642,751,3409,1097,1623,1239,,,665,2566,1029,1075,946,425,38,450,552,,,398,261,799,438,736,1224,548,,,,,,,393,3510,610,2012,
6/05/2020,2782,3429,2623,3590,804,208,,2207,1992,543,,1229,1412,387,326,235,63,713,898,3646,1262,1612,1418,,,688,2452,1065,1137,1018,387,34,478,584,,,137,295,946,514,876,1271,549,,,,,,,423,3996,609,2292,
7/05/2020,2672,3467,2637,3652,799,225,,1972,1796,479,,1223,1406,425,360,196,43,697,891,3373,1194,1526,1478,,,815,2354,1060,1143,1044,279,19,420,616,,,137,280,824,471,867,1215,554,,,,,,,415,4127,580,2343,
8/05/2020,2587,3974,2611,4071,771,218,,2525,1660,601,,1117,1617,466,343,191,48,728,1093,3787,1407,1439,1584,,,851,2433,1276,1157,1083,339,32,412,566,,,260,293,977,490,1048,1250,633,,,,,,,417,4742,596,2598,
9/05/2020,2926,5105,2900,5385,825,300,,4291,1705,846,,1356,2266,457,340,182,68,836,1484,4949,2389,1586,2392,,,1145,2649,2220,1266,1542,383,27,422,703,,,494,454,1062,664,1263,1675,833,,,,,,,440,6125,618,3459,
10/05/2020,2736,3963,2726,4189,843,316,,3814,1535,714,,1555,1799,400,294,179,63,787,997,4771,2007,1361,2112,,,693,2839,2054,1133,1211,410,41,315,579,,,136,424,1002,697,1119,1600,638,,,,,,,456,4650,621,2581,
11/05/2020,3025,3110,2668,3357,835,201,,2255,2057,552,,1255,1322,414,321,235,61,694,762,3665,1236,1622,1470,,,656,2585,1062,1136,1028,558,37,519,588,,,405,227,861,469,780,1460,563,,,,,,,451,3435,622,1940,
12/05/2020,3073,3784,2835,4022,805,250,,2257,2003,459,,1372,1606,454,399,237,56,772,980,3766,1253,1655,1513,,,847,2568,1153,1148,1125,393,25,520,622,,,250,344,922,510,857,1414,568,,,,,,,477,4428,622,2519,
13/05/2020,2854,3876,2837,4129,828,219,,2315,1961,540,,1340,1563,398,374,223,62,797,976,3904,1353,1713,1610,,,656,2925,1187,1200,1101,377,23,397,632,,,486,306,900,488,973,1321,634,,,,,,,446,4673,620,2641,
14/05/2020,2535,3461,2420,3599,712,183,,2039,1673,434,,1155,1450,421,385,198,60,663,917,3278,1182,1546,1486,,,871,2092,1065,1077,1103,318,31,411,645,,,400,253,935,437,907,1114,578,,,,,,,419,4029,576,2250,
15/05/2020,2571,3900,2627,4142,767,212,,2521,1840,528,,1200,1754,485,412,190,38,821,1140,3701,1481,1430,1580,,,898,2159,1185,1069,1116,418,29,402,591,,,175,230,981,536,1050,1331,653,,,,,,,465,4760,636,2643,
16/05/2020,2558,4718,2734,5040,789,275,,3699,1489,636,,1320,2143,371,340,178,78,858,1322,4634,2041,1484,2200,,,1043,2465,1991,1079,1428,388,34,389,761,,,361,423,1034,674,1144,1637,699,,,,,,,450,6007,624,3562,
17/05/2020,3040,4735,3105,5026,1005,359,,4168,1669,962,,1549,2043,483,387,211,58,873,1339,5119,2396,1454,2293,,,1071,2950,2297,1368,1485,478,35,410,763,,,194,509,1070,655,1252,1770,801,,,,,,,491,5683,671,3278,
18/05/2020,2705,2390,2588,2586,731,197,,1767,1737,355,,1126,984,389,344,193,33,505,473,3171,988,1462,1156,,,433,2433,766,964,745,327,24,380,486,,,102,180,773,479,692,1144,506,,,,,,,436,2553,624,1491,
19/05/2020,2625,3855,2775,3986,774,227,,2216,1772,464,,1254,1590,455,380,221,37,803,986,3536,1341,1622,1436,,,733,2475,1064,1130,1161,413,30,434,598,,,130,286,917,527,889,1256,603,,,,,,,450,4539,620,2581,
20/05/2020,2214,3233,2356,3433,626,154,,1968,1607,375,,1179,1293,413,317,149,47,706,890,3010,1040,1346,1117,,,747,2073,862,949,874,225,15,355,602,,,114,253,868,485,835,1217,504,,,,,,,369,3832,530,2200,
21/05/2020,1813,2423,1866,2639,467,138,,1230,1098,223,,970,1027,301,261,140,14,498,649,2040,729,950,828,,,626,1272,660,650,691,150,20,309,412,,,85,195,687,343,635,776,410,,,,,,,309,2917,445,1711,
22/05/2020,2178,3269,2177,3424,637,163,,1822,1496,363,,1126,1409,361,314,155,40,695,895,3025,1120,1212,1156,,,811,1666,876,951,903,375,21,349,556,,,110,239,892,404,864,1175,510,,,,,,,357,3911,486,2143,
23/05/2020,2120,3225,2336,3485,793,158,,550,1320,503,,1076,1488,320,235,170,29,662,1108,3625,1289,1265,1326,,,858,1653,1176,915,981,295,11,249,463,,,157,310,789,495,867,1292,467,,,,,,,356,4072,448,2313,
24/05/2020,2852,4051,3082,4408,874,312,,3217,1677,747,,1545,1868,399,268,188,58,761,1067,4942,2044,1481,1952,,,910,2554,1940,1332,1301,469,36,289,388,,,209,415,881,642,1142,1743,616,590,766,,,,,442,4980,629,2854,
25/05/2020,2814,3000,2835,3247,720,183,,2050,1732,360,,1229,1163,386,372,168,49,662,605,3422,1095,1440,1204,512,207,626,2276,916,1634,577,494,21,124,323,,,176,234,812,522,727,1249,541,939,874,,,,,434,3427,650,2075,
26/05/2020,3045,3934,2786,4166,789,182,,2207,1903,398,,1315,1612,425,408,197,52,859,988,3748,1318,1564,1388,369,315,976,2361,1165,1729,497,561,27,126,334,,,153,267,965,554,893,1307,623,998,915,,,,,479,4752,692,2798,
27/05/2020,2637,3673,2584,3922,707,174,,2138,1730,337,,1226,1450,423,412,173,29,850,984,3605,1340,1395,1361,560,254,857,2278,1006,1041,997,431,16,90,352,,,179,282,998,525,908,1329,581,927,970,,,,,410,4482,610,2655,
28/05/2020,2745,3635,2591,3852,662,170,,2028,1601,346,,1287,1462,436,391,174,30,838,908,3339,1234,1361,1291,356,263,870,2125,1057,1019,969,316,20,57,333,,,161,238,939,501,840,1174,561,831,922,,,,,407,4451,640,2612,
29/05/2020,2259,3758,2260,4001,647,182,,2112,1465,384,,1111,1556,399,400,124,36,821,1057,3225,1258,1241,1366,204,275,864,1908,1011,869,706,355,30,71,314,,,169,283,996,470,926,1158,584,887,943,1521,1421,,,382,4568,542,2468,
30/05/2020,2695,4507,2725,4942,786,282,,2128,1636,699,,1445,2141,352,321,204,63,822,1300,5021,2078,1466,1979,72,428,1032,2673,1811,1115,1367,333,40,63,347,,,284,426,873,656,1161,1606,700,604,869,3839,3968,,,433,5469,658,3070,
31/05/2020,2794,4268,2866,4621,873,296,,585,1556,706,,1517,1957,369,319,167,67,709,1156,4697,2056,1398,2049,22,428,984,2647,2120,1274,1403,328,50,55,386,,,211,461,938,563,1109,1615,665,582,914,3750,3958,,,422,5295,682,3000,
1/06/2020,2708,3031,2834,3285,673,176,,2051,1637,379,,1206,1228,469,382,163,26,679,651,3217,1048,1424,1373,0,272,613,2276,969,1051,907,408,29,90,311,,,122,267,861,525,779,1237,535,907,862,2760,2869,,,445,3461,620,2081,
2/06/2020,2576,3547,2374,3816,684,169,,1972,1716,336,,1196,1554,575,395,172,43,777,854,3229,1299,1295,1126,24,263,688,1836,1002,984,973,536,21,135,312,,,167,309,854,457,875,1250,546,1028,939,3333,3366,,,407,4414,608,2654,
3/06/2020,2542,3491,2540,3810,727,177,,2073,1662,380,,1208,1404,622,447,51,0,829,809,3272,1201,1302,1359,35,266,794,2108,931,1055,923,552,29,132,344,,,184,320,935,482,829,1214,541,1214,1028,3023,3252,,,391,4254,549,2613,
4/06/2020,2311,3312,2516,3649,649,154,,1838,1539,310,,1128,1382,541,438,0,0,796,843,2888,1025,1245,1189,84,275,745,1696,844,948,892,398,32,86,336,,,169,272,925,439,883,1117,476,891,848,2285,3131,,,375,4138,564,2459,
5/06/2020,2211,3582,2289,4003,536,152,,1890,1378,351,,1135,1609,435,351,6,0,945,962,3030,1188,1216,1349,21,310,762,1656,1037,946,980,421,24,97,305,,,144,276,922,468,923,1090,560,1081,880,2199,3223,,,505,4470,674,2493,
6/06/2020,2565,4297,2825,4798,680,234,,3057,1466,616,,1266,2036,384,305,200,72,824,1114,4154,1710,1302,1788,36,401,834,2329,1636,1256,1208,352,33,95,360,,,325,456,937,599,931,1356,613,577,818,4060,3668,,,428,5319,531,3104,
7/06/2020,2628,4167,2700,4502,714,237,,2519,1399,640,,1406,1817,395,307,163,55,809,1091,4674,1920,1411,2048,67,495,961,2388,2011,1195,1228,307,24,58,369,,,277,461,887,631,945,1528,593,524,858,3741,3750,,,378,5171,580,3066,
8/06/2020,2500,2924,2430,3246,667,196,,1839,1564,371,,1156,1205,505,327,182,25,711,630,2934,964,1268,1110,313,263,570,1997,839,937,866,453,13,106,306,,,276,190,840,441,791,1069,485,1155,832,2397,2763,,,0,3499,590,2120,
9/06/2020,2338,3610,2376,3954,605,169,,1911,1445,315,,1241,1540,395,410,149,33,782,951,2693,1046,1247,1124,200,261,812,1745,968,1042,1043,339,38,77,324,,,197,285,916,445,821,1012,548,947,1006,1761,3279,,,0,4438,599,2631,
